"Folder","Name","Type"
"Capas_Coexistencia","Capas_Coexistencia/coexistencia","FeatureServer"
"Capas_Demanda","Capas_Demanda/consumo_sectorial_dpto","FeatureServer"
"Capas_EnergiaElectrica_LATAM","Capas_EnergiaElectrica_LATAM/sistema_transmision_latam_lineas","FeatureServer"
"Capas_EnergiaElectrica_LATAM","Capas_EnergiaElectrica_LATAM/sistema_transmision_latam_subestaciones","FeatureServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/capacidad_asignada","FeatureServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/comunidades_energeticas_postuladas","FeatureServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/convocatorias__subestaciones","MapServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/convocatorias_lineas_transmision","MapServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/convocatorias_otros_proyectos","FeatureServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/indice_cobertura_energia_electrica_depto","FeatureServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/indice_cobertura_energia_electrica_mpio","MapServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/Índice_de_Cobertura_de_Energía_Eléctrica_Departamento_Histórico","MapServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/Índice_de_Cobertura_de_Energía_Eléctrica_Municipios_Histórico","MapServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/Índice_de_Cobertura_de_Energía_Eléctrica_Nacional_Histórico","MapServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/plan_indicativo_expansion_cobertura","MapServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/proyectos_generacion_xm","FeatureServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/proyectos_unificados_6gw","MapServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/puntos_carga","FeatureServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/sistema_transmision_apoyo_construido","FeatureServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/Sistema_transmision_lineas_construidas","MapServer"
"Capas_EnergiaElectrica","Capas_EnergiaElectrica/sistema_transmision_subestaciones_construidas","FeatureServer"
"Capas_FuenteEnergia_Biomasa","Capas_FuenteEnergia_Biomasa/biogas_residual_organico_urbano_2021","FeatureServer"
"Capas_FuenteEnergia_Biomasa","Capas_FuenteEnergia_Biomasa/obco_dpto","MapServer"
"Capas_FuenteEnergia_Biomasa","Capas_FuenteEnergia_Biomasa/obco_mpio","MapServer"
"Capas_FuenteEnergia_Biomasa","Capas_FuenteEnergia_Biomasa/potencial_biomasa","MapServer"
"Capas_FuenteEnergia_Biomasa","Capas_FuenteEnergia_Biomasa/potencial_biomasa_total_nal_ano_tj","FeatureServer"
"Capas_FuenteEnergia_Biomasa","Capas_FuenteEnergia_Biomasa/tipos_biomasa_obco","FeatureServer"
"Capas_FuenteEnergia_Eolica","Capas_FuenteEnergia_Eolica/energia_eolica_20metros","FeatureServer"
"Capas_FuenteEnergia_Eolica","Capas_FuenteEnergia_Eolica/velocidad_max_viento_2000_2010","FeatureServer"
"Capas_FuenteEnergia_Geotermia","Capas_FuenteEnergia_Geotermia/potencia_potencial_areas_geotermicas","FeatureServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/caida_hidraulica_1km","MapServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/caida_hidraulica_200m","MapServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/caida_hidraulica_5km","FeatureServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/caudal_probabilidad_95","FeatureServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/potencial_hidroenergetico","FeatureServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/potencial_medio_subzona_1km","MapServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/potencial_medio_subzona_200m","FeatureServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/potencial_medio_subzona_5km","FeatureServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/proyectos_grandes_centrales_1km","FeatureServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/proyectos_micro_centrales_200m","FeatureServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/proyectos_mini_centrales_200m","FeatureServer"
"Capas_FuenteEnergia_Hidraulica","Capas_FuenteEnergia_Hidraulica/proyectos_pequenas_centrales_1km","MapServer"
"Capas_FuenteEnergia_Solar","Capas_FuenteEnergia_Solar/brillo_solar_2005","FeatureServer"
"Capas_FuenteEnergia_Solar","Capas_FuenteEnergia_Solar/prediccion_radiacion","FeatureServer"
"Capas_FuenteEnergia_Solar","Capas_FuenteEnergia_Solar/radiacion_anual_departamental_2022","FeatureServer"
"Capas_FuenteEnergia_Solar","Capas_FuenteEnergia_Solar/radiacion_horizontal_media_dia_anual_2024","FeatureServer"
"Capas_FuenteEnergia_Solar","Capas_FuenteEnergia_Solar/radiacion_mensual_departamental_2022","FeatureServer"
"Capas_Gas_LATAM","Capas_Gas_LATAM/estaciones_gasoductos_latam","FeatureServer"
"Capas_Gas_LATAM","Capas_Gas_LATAM/gasoductos_latam","MapServer"
"Capas_Hidrocarburos","Capas_Hidrocarburos/ductos_hidrocarburos","MapServer"
"Capas_Hidrocarburos","Capas_Hidrocarburos/estaciones_servicio","FeatureServer"
"Capas_Hidrocarburos","Capas_Hidrocarburos/infraestructura_procesamiento_hidrocarburos","MapServer"
"Capas_Hidrocarburos","Capas_Hidrocarburos/municipios_cobertura_empresas_gas","FeatureServer"
"Capas_Hidrocarburos","Capas_Hidrocarburos/nodos_oferta_demanda","FeatureServer"
