year,month,ipc_index_base_2018,ipc_monthly_inflation,ipc_annual_inflation
2021,1,106.28,0.41,1.60
2021,2,106.96,0.64,1.56
2021,3,107.51,0.51,1.51
2021,4,108.15,0.59,1.95
2021,5,109.23,1.00,3.30
2021,6,109.18,-0.05,3.63
2021,7,109.53,0.32,3.97
2021,8,110.02,0.45,4.44
2021,9,110.44,0.38,4.51
2021,10,110.45,0.01,4.58
2021,11,111.00,0.50,5.26
2021,12,111.81,0.73,5.62
2022,1,113.67,1.67,6.94
2022,2,115.52,1.63,8.01
2022,3,116.68,1.00,8.53
2022,4,118.14,1.25,9.23
2022,5,119.13,0.84,9.07
2022,6,119.90,0.65,9.67
2022,7,120.87,0.81,10.21
2022,8,122.10,1.02,10.84
2022,9,123.24,0.93,11.44
2022,10,124.13,0.72,12.22
2022,11,125.09,0.77,12.53
2022,12,126.66,1.26,13.12
2023,1,128.91,1.78,13.25
2023,2,131.05,1.66,13.28
2023,3,132.43,1.05,13.34
2023,4,133.46,0.78,12.82
2023,5,134.03,0.43,12.36
2023,6,134.43,0.30,12.13
2023,7,135.07,0.48,11.78
2023,8,135.95,0.65,11.43
2023,9,136.68,0.54,10.99
2023,10,137.02,0.25,10.48
2023,11,137.66,0.47,10.15
2023,12,138.28,0.45,9.28
2024,1,139.55,0.92,8.35
2024,2,141.07,1.09,7.74
2024,3,142.03,0.68,7.36
2024,4,142.87,0.59,7.16
2024,5,143.49,0.43,7.16
2024,6,143.95,0.32,7.18
2024,7,144.24,0.20,6.86
2024,8,144.24,0.00,6.12
2024,9,144.59,0.24,5.81
2024,10,144.39,-0.14,5.41
2024,11,144.75,0.25,5.20
2024,12,145.41,0.46,5.16
